fs_name,Annual_depreciation_rate,Annual_discount_rate,Annual_insurance_costs_per_crew,Annual_other_income,Crewshare_and_unpaid_labour_costs_percent,Landing_costs_percent,Nb_crew,Nb_Vessels,Opportunity_interest_rate,Other_annual_fixed_costs,Other_variable_costs_per_unit_effort,Standard_annual_full_time_employment_hours,Standard_labour_hour_opportunity_costs,Vessel_value
USA0213,0.04,0.052,0,0,59.8315568,0,4,1,0.05,91630.25438,45.51380283,2080,52.8,1405088.312
USA0214,0.04,0.052,0,0,62.0340772,0,4,1,0.05,95900.12943,44.31029157,2080,52.8,1352638.139
USA0215,0.04,0.052,0,0,60.29273805,0,4,1,0.05,94323.41082,45.00968863,2080,52.8,1393010.035
USA0216,0.04,0.052,0,0,59.8315568,0,4,1,0.05,91630.25438,45.51380283,2080,52.8,1405088.312
USA0217,0.04,0.052,0,0,59.27916715,0,4,1,0.05,91916.64113,45.44955706,2080,52.8,1317526.444
USA0218,0.04,0.052,0,0,59.27916715,0,4,1,0.05,91916.64113,45.44955706,2080,52.8,1317526.444
USA0219,0.04,0.052,0,0,61.94898906,0,4,1,0.05,96237.4782,43.92496568,2080,52.8,1388988.974
USA0220,0.04,0.052,0,0,59.8315568,0,4,1,0.05,91630.25438,45.51380283,2080,52.8,1405088.312
USA0221,0.04,0.052,0,0,61.69096699,0,4,1,0.05,96645.83156,44.02621447,2080,52.8,1386085.532
USA0222,0.04,0.052,0,0,63.29627668,0,4,1,0.05,92584.91219,44.95600786,2080,52.8,1277304.749
USA0224,0.04,0.052,0,0,63.29627668,0,4,1,0.05,92584.91219,44.95600786,2080,52.8,1277304.749
USA0225,0.04,0.052,0,0,59.27916715,0,4,1,0.05,91916.64113,45.44955706,2080,52.8,1317526.444
USA0226,0.04,0.052,0,0,59.27916715,0,4,1,0.05,91916.64113,45.44955706,2080,52.8,1317526.444
